Taxon,Species,Region,Grid,Idgrid,Source
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1850000E5250000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1850000E5300000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1850000E5350000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1850000E5400000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1850000E3750000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1850000E5450000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1850000E3800000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1850000E5150000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E3350000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E3400000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E3700000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E3750000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E3800000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E4150000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E4200000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E4250000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1850000E4750000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E4750000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E4800000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E4850000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1850000E5000000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E5000000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E5150000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E5200000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E5250000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E5300000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E5350000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E5400000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E5450000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E3450000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E4700000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E4300000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E4900000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E4950000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E3350000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E3400000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E3450000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E4150000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E4200000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E4250000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E4700000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E4750000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E4800000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E4850000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E4900000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E4950000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E5000000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1900000E5100000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E5100000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E5150000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E5200000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E5250000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E5300000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E5350000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E5400000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E4300000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E4650000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E3500000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E5450000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1950000E5500000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2000000E3350000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2000000E3400000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2000000E3450000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2000000E3500000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2000000E4200000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2000000E4250000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2000000E4650000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2000000E4700000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2000000E4750000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2000000E4800000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2000000E4850000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2000000E4900000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2000000E4950000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2000000E5100000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2000000E5150000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2000000E5200000,IUCN_Red_List
